Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
3.0,0.0,0.0,2.0,0.0,0.0,3997414949.426895,Jeep,Wrangler,Nafta
3.0,0.0,0.0,2.0,0.0,0.0,3997414949.426895,Jeep,Wrangler,Nafta
3.0,0.0,0.0,2.0,0.0,0.0,3991015783.2639427,Jeep,Wrangler,Nafta
5.0,0.0,1.0,3.0,0.0,0.0,3939686481.6623535,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,3939590370.399414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,3939590370.399414,Audi,Q7,Nafta
5.0,870000.0,5.0,1.5,0.0,0.0,3869882829.0046177,Chevrolet,Equinox,Nafta
4.0,968770.0,6.0,3.0,0.0,0.0,3839526161.851822,BMW,X5,Diésel
4.0,0.0,0.0,2.0,0.0,0.0,3811970857.4397125,Jeep,Wrangler,Nafta
4.0,0.0,0.0,2.0,0.0,0.0,3811970857.4397125,Jeep,Wrangler,Nafta
4.0,0.0,0.0,2.0,0.0,0.0,3799632625.4084625,Jeep,Wrangler,Nafta
4.0,0.0,0.0,2.0,0.0,0.0,3787314393.3772125,Jeep,Wrangler,Nafta
3.0,0.0,0.0,2.0,0.0,0.0,3686324980.75502,Jeep,Wrangler,Nafta
5.0,300000.0,2.0,3.0,0.0,1.0,3678987324.805664,Mercedes-Benz,Clase GLE,Otros
5.0,0.0,0.0,3.0,0.0,0.0,3592691213.3789062,Audi,Q8,Nafta
5.0,53000.0,6.0,4.4,0.0,0.0,3565348475.1343384,BMW,X6,Nafta
5.0,135000.0,1.0,3.6,0.0,0.0,3465956538.140625,Jeep,Grand Cherokee,Nafta
5.0,490000.0,6.0,3.6,0.0,0.0,3399992323.7365723,Marca_Otros,Cayenne,Nafta
5.0,800000.0,16.0,4.4,0.0,0.0,3284424458.916565,BMW,X6,Nafta
3.0,0.0,0.0,2.0,0.0,0.0,3242062621.25502,Jeep,Wrangler,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,3226433477.900635,Marca_Otros,Macan,Nafta
4.0,0.0,0.0,2.0,0.0,0.0,3219559255.8772125,Jeep,Wrangler,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,3151594338.3789062,Audi,Q8,Nafta
5.0,130000.0,2.0,2.5,0.0,0.0,3147685114.8049316,Ford,Kuga,Otros
5.0,70000.0,3.0,3.0,0.0,0.0,3137647841.411682,Audi,Q7,Nafta
5.0,149000.0,4.0,3.0,0.0,0.0,3127433483.2280884,Audi,Q8,Nafta
5.0,111110.0,8.0,3.0,0.0,0.0,3040459232.0041504,Audi,Q5,Nafta
5.0,1300000.0,17.0,4.8,0.0,0.0,2974505077.5161743,BMW,X5,Nafta
5.0,10000.0,0.0,3.0,0.0,0.0,2870450560.7183228,BMW,X3,Nafta
5.0,860000.0,18.0,4.8,0.0,0.0,2866069836.0976562,Marca_Otros,Cayenne,Nafta
5.0,0.0,1.0,3.0,0.0,0.0,2784348044.1623535,Audi,Q7,Nafta
5.0,920000.0,17.0,5.5,0.0,1.0,2771078171.0634766,Mercedes-Benz,Clase ML,Nafta
