Puertas,Kilómetros,Precio_usd,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,combustible_Diésel,combustible_Nafta,combustible_Otros
5.0,0.0,59818.09898250173,0.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,980000.0,17717.63157450686,9.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,320000.0,48000.0,3.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,770000.0,14600.0,8.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,200000.0,110000.0,1.0,3.6,0.0,1.0,0.0,1.0,0.0
5.0,0.0,37375.76565479304,0.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,540000.0,15900.0,8.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,29655.940468757908,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,840000.0,24000.0,8.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,200000.0,39822.48620555828,1.0,1.8,0.0,0.0,0.0,0.0,1.0
5.0,1710000.0,9280.664158075022,17.0,2.7,0.0,1.0,0.0,1.0,0.0
5.0,1050000.0,15178.104382160876,9.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,1130000.0,21000.0,9.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,160000.0,89900.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
5.0,1800000.0,18561.328316150044,13.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,890000.0,21900.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,32473.887585846143,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,28263.840845046656,1.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,769460.0,17886.370922835496,3.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,2500000.0,15000.0,15.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,740000.0,16242.849670114574,7.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,680000.0,13499.147866290941,8.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,160000.0,37038.286958135766,1.0,1.8,0.0,0.0,0.0,0.0,1.0
5.0,450000.0,26998.295732581882,4.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,470000.0,33500.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0
3.0,850000.0,58000.0,9.0,3.6,1.0,1.0,0.0,1.0,0.0
5.0,0.0,26154.60489681589,0.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,2050000.0,12739.820798812076,10.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1690000.0,14900.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,380000.0,22611.072676037325,5.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,830650.0,79000.0,8.0,3.0,0.0,1.0,0.0,1.0,0.0
5.0,0.0,37291.395980628724,0.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,970000.0,14500.0,11.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,0.0,30673.43958287633,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1750970.0,23201.660395187555,12.0,2.5,0.0,0.0,0.0,1.0,0.0
5.0,690000.0,18000.0,7.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,1270000.0,17717.63157450686,12.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,11000.0,36194.59021649259,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,900000.0,27700.0,6.0,2.5,0.0,1.0,0.0,1.0,0.0
5.0,769460.0,17886.370922835496,3.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,910000.0,16873.934832863677,7.0,1.8,1.0,0.0,0.0,1.0,0.0
5.0,0.0,11474.275686347299,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1570000.0,18000.0,9.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,0.0,15186.541349577308,0.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,1540000.0,69500.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0
5.0,790000.0,34000.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,1080000.0,26000.0,14.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,26880.178188751834,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1280000.0,20000.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,1940000.0,15500.0,14.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,940000.0,20586.200496093683,5.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1680000.0,30000.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0
5.0,1500000.0,20000.0,9.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,1390000.0,15500.0,12.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,1550000.0,13667.887214619577,10.0,1.8,1.0,0.0,0.0,1.0,0.0
5.0,800000.0,38810.050115586455,4.0,2.0,0.0,0.0,1.0,0.0,0.0
5.0,475210.0,31000.0,4.0,2.5,0.0,1.0,0.0,0.0,1.0
5.0,570000.0,28000.0,5.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,1180000.0,34000.0,15.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,1370000.0,14258.474933769807,8.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,2660000.0,5484.0288206806945,24.0,1.3,0.0,1.0,0.0,1.0,0.0
5.0,750000.0,21514.266911901188,4.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,25310.902249295512,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4.0,780000.0,119000.0,14.0,4.8,0.0,0.0,0.0,1.0,0.0
5.0,1260000.0,4387.223056544555,20.0,1.6,1.0,1.0,0.0,1.0,0.0
5.0,0.0,26200.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0
5.0,1050000.0,15102.17167541299,10.0,1.8,0.0,1.0,0.0,1.0,0.0
5.0,320000.0,34000.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,2050000.0,7593.270674788654,26.0,2.9,1.0,1.0,1.0,0.0,0.0
5.0,920000.0,38940.148153147835,8.0,2.8,0.0,1.0,1.0,0.0,0.0
5.0,800000.0,23800.0,7.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,700000.0,23117.290721023237,4.0,1.6,0.0,1.0,0.0,1.0,0.0
4.0,1150000.0,16705.195484535037,9.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,0.0,28095.10065302128,0.0,1.2,0.0,0.0,0.0,1.0,0.0
5.0,1600000.0,54800.0,10.0,3.0,0.0,0.0,0.0,1.0,0.0
5.0,985000.0,10968.057641361389,8.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,1800000.0,10500.0,13.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,1450000.0,15186.541349577308,7.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,1882080.0,9500.0,12.0,1.6,1.0,1.0,0.0,1.0,0.0
4.0,870000.0,21092.418541079594,3.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,0.0,57900.0,0.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,50000.0,23623.508766009145,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,58000.0,1.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,1400000.0,38900.0,7.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,540000.0,26900.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,48765.67166697602,0.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,0.0,50453.06515026239,0.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,1560000.0,21008.048866915276,5.0,1.6,0.0,1.0,0.0,1.0,0.0
5.0,1100000.0,19500.0,8.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,669000.0,23201.660395187555,4.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,950000.0,22357.96365354437,7.0,2.4,1.0,0.0,0.0,1.0,0.0
5.0,0.0,44294.07893626715,2.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,0.0,30288.7130249903,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1180000.0,48900.0,3.0,2.8,0.0,1.0,1.0,0.0,0.0
5.0,680000.0,17633.261900342543,7.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,1950000.0,14500.0,13.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,1050000.0,27841.992474225066,7.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,750000.0,14900.0,9.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,980000.0,20004.049744359887,9.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,1650000.0,9702.512528896614,11.0,2.0,1.0,1.0,0.0,0.0,1.0
5.0,470000.0,33747.869665727354,3.0,1.4,0.0,1.0,0.0,1.0,0.0
5.0,1950000.0,9800.381350927222,13.0,2.0,1.0,1.0,0.0,1.0,0.0
5.0,879000.0,17295.783203685267,8.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,0.0,33157.281946577124,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,610000.0,21514.266911901188,5.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,19025.361524053795,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,28010.731822553702,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1050000.0,23900.0,6.0,2.4,0.0,1.0,0.0,1.0,0.0
5.0,915000.0,27000.0,8.0,2.8,0.0,1.0,1.0,0.0,0.0
5.0,1380000.0,8774.44611308911,15.0,2.0,1.0,1.0,0.0,1.0,0.0
5.0,0.0,38388.20174476486,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,0.0,40328.61988087002,1.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,990000.0,19405.025057793227,5.0,1.5,0.0,0.0,0.0,1.0,0.0
5.0,1179000.0,27757.622800060748,8.0,2.4,1.0,0.0,0.0,1.0,0.0
5.0,420000.0,16452.086462042083,8.0,1.5,1.0,0.0,0.0,1.0,0.0
